 O3-6 V         -0.330    -4.818    -4.467     0.066     0.164     0.120     0.218     0.665    -0.100    -0.254     0.890     0.107     0.070     0.091     0.018
 O7-B0 V        -0.310    -4.666    -4.105     0.042     0.196     0.141     0.118     0.328     0.264     0.096     0.174     0.164     0.054     0.077     0.002
 B1-1.5 V       -0.260    -4.253    -3.725     0.120     0.385     0.167     0.065     0.160     0.153     0.093     0.024     0.038     0.011     0.069     0.012
 B2-4 V         -0.210    -3.405    -2.978     0.268     0.173     0.102     0.018     0.033     0.016     0.024    -0.012     0.040     0.029     0.078     0.036
 B5-8 V         -0.140    -2.596    -2.254     0.335     0.090     0.080    -0.020     0.014    -0.006     0.013    -0.022     0.039     0.058     0.099     0.056
 B9-9.5 V       -0.050    -1.251    -1.101     0.235     0.028     0.037    -0.070    -0.003    -0.025     0.031    -0.049     0.055     0.102     0.088     0.050
 A0-2 V          0.020     0.236    -0.231     0.239     0.060     0.061    -0.033     0.045     0.038     0.076     0.035     0.026     0.123     0.060     0.060
 A5-8 V          0.190   -99.000     1.812   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000     0.404     0.362     0.316    -0.249     0.189
 A9-F3 V         0.330   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000    -0.268     0.256
 F5-7 V          0.450   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000     0.126     0.267
 F8-9 V          0.550   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000     0.174    -0.278
 F5-6 V MP       0.440   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 F7-9 V MP       0.540   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 G0-5 V          0.610   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000     0.199
 G0-2 V MP       0.600   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 G0-5 V MR       0.690   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 G6-9 V          0.770   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 G8 V MP         0.720   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 K0-1 V          0.880   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 K2-3 V          0.940   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 K5-7 V          1.270   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 O9-B0 IV       -0.300    -4.542    -3.956     0.046     0.301     0.167     0.099     0.312     0.340     0.158     0.088     0.123     0.018     0.073     0.004
 B2-5 IV        -0.200    -3.331    -2.902     0.273     0.253     0.125     0.024     0.076     0.066     0.046     0.002     0.024     0.015     0.081     0.044
 B8-9 IV        -0.090    -1.794    -1.553     0.273     0.050     0.076    -0.038     0.007    -0.022    -0.008    -0.009     0.032     0.081     0.103     0.026
 A7-F0 IV        0.260   -99.000     2.378   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000     0.543     0.503    -0.297     0.206
 F2-7 IV         0.420   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000     0.026     0.315
 G0-2 IV         0.640   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 G5-8 IV MR      0.790   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 G8-K1 IV        1.010   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 O5-6 III       -0.320    -4.825    -4.445     0.060     0.176     0.138     0.211     0.763     0.002    -0.199     0.929     0.143     0.087     0.118     0.016
 B0-2 III       -0.260    -4.066    -3.553     0.104     0.345     0.181     0.071     0.290     0.244     0.115     0.130     0.092     0.019     0.105     0.018
 B3-6 III       -0.170    -3.035    -2.669     0.316     0.180     0.117     0.001     0.057     0.046     0.025     0.011     0.024     0.019     0.088     0.053
 B7-9 III       -0.100    -1.542    -1.340     0.365     0.066     0.084    -0.033     0.012    -0.012     0.012    -0.021     0.045     0.095     0.095     0.063
 A3-6 III        0.130   -99.000     1.146   -99.000   -99.000   -99.000   -99.000     0.074     0.029     0.048     0.303     0.124     0.209    -0.052     0.121
 A9-F6 III       0.360   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000    -0.219     0.276
 F6 III MP       0.440   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 G0-5 III        0.750   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 G5-K0 III       0.980   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 K0-2 III        1.080   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
