 O3-6 V         -0.330    -3.077    -2.309    -0.047    -0.134     0.039    -0.009     0.041     0.104     0.019     0.113     0.007     0.021
 O7-B0 V        -0.310    -2.926    -2.301    -0.052    -0.093     0.054     0.012     0.015     0.045     0.012     0.080    -0.007     0.016
 B1-1.5 V       -0.260    -2.599    -2.038    -0.045    -0.076     0.034    -0.001     0.002     0.023    -0.005     0.061    -0.007    -0.017
 B2-4 V         -0.210    -1.969    -1.557    -0.016    -0.052     0.048     0.013     0.003     0.025     0.005     0.034     0.012     0.048
 B5-8 V         -0.140    -1.452    -1.158     0.011    -0.041     0.055     0.038     0.021     0.036     0.029     0.028     0.002     0.029
 B9-9.5 V       -0.050    -0.521    -0.402     0.067    -0.029     0.099     0.060     0.047     0.112     0.052     0.038    -0.003     0.012
 A0-2 V          0.020     0.065     0.000     0.170     0.033     0.154     0.118     0.113     0.184     0.073     0.059    -0.003     0.036
 A5-8 V          0.190     0.774     0.334     0.421     0.063     0.286     0.270     0.248     0.449     0.152     0.077     0.006     0.021
 A9-F3 V         0.330     1.311     0.525     0.636     0.136     0.457     0.393     0.392     0.625     0.190     0.120     0.006     0.043
 F5-7 V          0.450     1.720     0.522     0.867     0.272     0.478     0.560     0.551     0.839     0.228     0.178     0.083     0.088
 F8-9 V          0.550     2.379     0.841     0.983     0.477     0.396     0.653     0.625     0.941     0.338     0.299     0.164     0.133
 F5-6 V MP       0.440     1.241     0.309     0.711     0.213     0.428     0.562     0.462     1.018     0.238     0.146     0.072     0.120
 F7-9 V MP       0.540     1.965     0.659     1.017     0.389     0.452     0.742     0.668     1.138     0.332     0.229     0.124     0.124
 G0-5 V          0.610     2.702     1.009     1.017     0.665     0.353     0.656     0.634     0.878     0.452     0.343     0.239     0.164
 G0-2 V MP       0.600     2.396     0.903     0.973     0.560     0.445     0.778     0.654     1.131     0.465     0.366     0.218     0.212
 G0-5 V MR       0.690     3.230     1.316     0.887     0.667     0.094     0.623     0.494     0.711     0.545     0.415     0.313     0.187
 G6-9 V          0.770     3.678     1.646     0.963     0.795     0.122     0.645     0.549     0.720     0.688     0.493     0.359     0.213
 G8 V MP         0.720     3.282     1.462     1.033     0.865     0.065     0.821     0.607     0.800     0.825     0.456     0.397     0.230
 K0-1 V          0.880     4.606     2.332     0.747     0.918   -99.000     0.536     0.320     0.488     0.886     0.601     0.412     0.196
 K2-3 V          0.940     4.862     2.759     0.584     0.895   -99.000     0.323     0.178    -0.036     0.862     0.519     0.399     0.216
 K5-7 V          1.270   -99.000     4.070     0.046     0.973   -99.000   -99.000    -0.345    -1.017     0.642   -99.000     0.260     0.221
 O9-B0 IV       -0.300    -2.788    -2.201    -0.050    -0.088     0.033    -0.004     0.001     0.047    -0.002     0.062    -0.004     0.053
 B2-5 IV        -0.200    -1.927    -1.519    -0.024    -0.062     0.034     0.030     0.013     0.033     0.004     0.037     0.002     0.019
 B8-9 IV        -0.090    -0.860    -0.662     0.022    -0.009     0.084     0.053     0.028     0.039     0.006     0.024    -0.010    -0.000
 A7-F0 IV        0.260     0.852     0.319     0.443     0.083     0.335     0.343     0.273     0.552     0.171     0.088     0.019     0.021
 F2-7 IV         0.420     1.759     0.623     0.862     0.277     0.558     0.521     0.560     0.844     0.218     0.192     0.061     0.072
 G0-2 IV         0.640     2.904     1.205     1.088     0.706     0.486     0.615     0.710     0.948     0.391     0.348     0.219     0.151
 G5-8 IV MR      0.790     3.932     1.835     0.833     0.803   -99.000     0.511     0.437     0.752     0.629     0.509     0.375     0.172
 G8-K1 IV        1.010   -99.000     2.754     0.871     1.076   -99.000   -99.000     0.404     0.475     0.866   -99.000     0.463     0.190
 O5-6 III       -0.320    -3.084    -2.268    -0.044    -0.137    -0.002    -0.035     0.026     0.125     0.031     0.111     0.014     0.004
 B0-2 III       -0.260    -2.606    -2.043    -0.056    -0.072     0.019     0.011    -0.006     0.058    -0.003     0.066     0.006     0.024
 B3-6 III       -0.170    -1.780    -1.402    -0.019    -0.062     0.039     0.041     0.012     0.018     0.010     0.031    -0.012     0.013
 B7-9 III       -0.100    -0.773    -0.618     0.054     0.004     0.106     0.032     0.050     0.055     0.040     0.033    -0.001     0.004
 A3-6 III        0.130     0.580     0.320     0.286     0.046     0.234     0.205     0.164     0.356     0.134     0.071     0.012     0.034
 A9-F6 III       0.360     1.747     0.853     0.702     0.172     0.495     0.366     0.423     0.688     0.204     0.167     0.008     0.020
 F6 III MP       0.440     1.959     0.617     1.012     0.314     0.543     0.689     0.667     1.104     0.290     0.220     0.088     0.086
 G0-5 III        0.750     3.053     1.559     0.725     0.523     0.385     0.291     0.401     0.409     0.287     0.323     0.150     0.095
 G5-K0 III       0.980     5.444     2.947     0.887     1.050   -99.000     0.295     0.445     0.611     0.820     0.733     0.452     0.186
 K0-2 III        1.080     5.597     3.226     0.720     0.971   -99.000     0.266     0.324     0.284     0.756     0.674     0.404     0.170
 K0-2 III MP     1.100   -99.000     2.992     0.988     1.224   -99.000   -99.000     0.476     0.420     1.066   -99.000     0.441     0.227
 K2 III          1.200   -99.000     4.153     0.667     1.066   -99.000   -99.000     0.167    -0.018     0.913   -99.000     0.417     0.202
 K3 III          1.340   -99.000     4.765     0.602     1.015   -99.000   -99.000     0.157    -0.473     0.813   -99.000     0.397     0.230
 K2-3 III MR     1.230   -99.000     4.114     0.665     1.034   -99.000   -99.000     0.157     0.046     0.942   -99.000     0.458     0.184
 K4-5 III        1.520   -99.000     5.750     0.376     0.703   -99.000   -99.000     0.064    -1.123     0.439   -99.000     0.247     0.293
 K7-M3 III       1.570   -99.000     5.925     0.168     0.530   -99.000   -99.000    -0.063    -1.125     0.162   -99.000     0.146     0.198
 O4-9 I         -0.300    -2.973    -2.225    -0.040    -0.123     0.040    -0.024     0.035     0.082     0.047     0.080     0.002     0.032
 B0-2 I         -0.220    -2.498    -1.984    -0.031    -0.076     0.012     0.004     0.013     0.069    -0.005     0.050    -0.002     0.022
 B3-5 I         -0.110    -1.526    -1.316     0.081    -0.034     0.069     0.061     0.048     0.074     0.029    -0.013     0.030     0.032
 B6-9 I         -0.040    -0.917    -0.831     0.065    -0.008     0.046     0.075     0.052     0.046     0.047     0.009     0.002    -0.017
 A0-2 I          0.030     0.091    -0.061     0.209     0.043     0.187     0.111     0.118     0.146     0.131     0.066     0.004     0.007
 A5-F0 I         0.130     1.579     0.960     0.556     0.143     0.501     0.211     0.332     0.541     0.161     0.199    -0.032    -0.014
 F2-8 I          0.380     2.556     1.411     1.124     0.304     0.872     0.273     0.754     0.822     0.155     0.347    -0.016     0.013
 G0-3 I          0.840     3.355     2.176     0.501     0.509     0.355     0.166     0.274     0.326     0.224     0.352     0.132     0.098
 G5-8  I         1.090     5.269     3.654     0.464     0.601     0.109     0.204     0.163    -0.723     0.331     0.222     0.241     0.136
 K2-3 I          1.350     5.964     4.431     0.322     0.503   -99.000     0.239     0.043    -0.951     0.241     0.067     0.210     0.199
 K5-M4 I         1.640     6.874     5.588     0.337     0.367   -99.000     0.325     0.095    -0.866     0.002    -0.138     0.113     0.199
